Age,Gender,College_Tier,Specialization,CGPA,DSA_Problems_Solved,Internships,Certifications,Projects_Count,Communication_Skills,Aptitude_Test_Score,LeetCode_Rating,GitHub_Contributions,Hackathons_Participated,AI_ML_Skill_Level,System_Design_Knowledge,Resume_Score,Mock_Interview_Score,Placement_Status,Salary_LPA
18,Female,Tier 3,Electronics,6.29,358,2,3,4,62,57,1323,58,4,3,4,80,73,1,8.76
22,Other,Tier 3,AI/ML,7.59,173,0,2,9,77,36,800,23,1,8,2,47,85,1,12.0
21,Female,Tier 2,Computer Science,6.99,213,2,1,9,67,66,1316,1,8,4,10,88,78,1,10.44
22,Male,Tier 2,Electronics,8.38,405,3,7,12,84,44,1652,159,2,9,5,48,62,1,17.31
22,Male,Tier 3,Civil,6.08,254,3,7,1,56,46,1057,31,3,2,9,86,94,1,12.3
21,Male,Tier 2,AI/ML,8.15,220,1,9,6,43,88,2027,136,2,4,4,64,69,1,10.87
18,Other,Tier 2,Data Science,6.11,402,2,9,12,87,66,1494,174,8,10,9,60,66,1,7.97
21,Male,Tier 2,Civil,7.44,173,1,10,11,54,76,962,114,8,1,6,98,55,1,13.14
23,Other,Tier 3,Computer Science,9.47,286,1,8,9,40,76,1201,58,5,2,6,66,87,1,14.8
25,Female,Tier 2,AI/ML,6.2,343,3,2,8,52,41,1552,134,0,7,4,70,72,1,10.02
25,Male,Tier 2,Civil,6.84,31,1,4,3,73,40,1244,193,4,9,10,51,53,1,15.33
22,Other,Tier 2,Mechanical,7.41,164,0,10,11,69,97,2005,73,3,9,1,61,92,1,10.36
18,Male,Tier 2,Computer Science,7.9,318,0,7,7,95,36,1260,128,4,10,2,82,47,1,14.2
25,Other,Tier 3,Computer Science,7.4,318,2,7,10,97,92,1272,162,3,2,1,77,41,1,11.96
20,Female,Tier 3,AI/ML,6.73,213,4,2,3,98,75,1415,4,5,8,9,63,44,1,13.31
18,Male,Tier 1,AI/ML,7.26,47,0,3,12,72,100,1233,310,6,10,2,80,86,1,10.55
24,Male,Tier 3,Computer Science,6.82,124,2,4,2,84,76,1409,54,7,3,5,50,87,1,11.27
23,Other,Tier 2,Information Technology,6.48,408,2,5,12,90,61,1478,39,6,10,9,87,44,1,15.27
18,Female,Tier 1,Data Science,6.24,15,1,5,4,58,98,1448,272,4,10,3,97,62,1,9.04
18,Other,Tier 2,Data Science,5.87,362,0,9,10,97,64,1225,168,4,6,7,67,44,1,8.82
21,Other,Tier 3,Data Science,7.34,511,1,10,3,64,93,1031,201,4,6,4,91,63,1,13.73
24,Male,Tier 2,Civil,5.71,333,2,1,8,95,38,1475,127,2,8,2,65,58,1,13.04
20,Female,Tier 2,Data Science,6.85,260,3,2,12,48,87,1534,179,3,9,7,52,94,1,11.23
19,Female,Tier 3,AI/ML,8.49,76,2,8,4,61,48,1716,126,7,9,2,46,80,1,12.33
20,Female,Tier 3,Electronics,7.73,108,0,5,8,100,62,1824,63,5,5,3,49,49,1,8.69
21,Other,Tier 3,Electronics,8.73,277,1,6,2,59,68,1753,51,4,1,1,66,93,1,8.2
25,Other,Tier 2,AI/ML,8.88,249,0,5,3,50,97,1621,172,1,2,1,88,94,1,11.03
22,Female,Tier 2,Computer Science,7.43,489,1,3,1,51,35,1438,195,0,7,9,92,86,1,8.76
23,Other,Tier 1,AI/ML,8.32,21,0,2,1,81,71,1803,151,2,3,5,74,36,1,11.36
22,Male,Tier 2,Electronics,7.1,212,1,5,1,44,60,1162,103,6,8,3,63,78,1,17.2
18,Other,Tier 3,AI/ML,8.5,119,2,0,9,60,91,1543,127,5,3,2,81,63,1,12.82
20,Female,Tier 3,Electronics,6.2,316,2,4,4,46,37,1746,53,2,10,2,92,52,1,17.27
18,Other,Tier 2,Information Technology,8.72,332,1,8,4,80,80,1018,152,7,2,8,78,89,1,12.84
20,Male,Tier 2,Civil,7.71,488,0,9,10,71,59,1388,283,4,9,4,56,67,1,13.68
18,Female,Tier 2,Mechanical,6.91,609,1,0,2,68,80,1740,83,0,2,8,75,79,1,11.0
22,Female,Tier 3,Computer Science,7.84,227,0,1,7,96,100,1496,54,1,6,8,57,89,1,8.7
24,Female,Tier 3,Information Technology,7.31,271,4,6,9,40,49,1634,73,2,1,1,58,37,1,10.27
19,Other,Tier 3,Information Technology,6.23,408,0,4,8,65,78,1216,84,5,5,5,47,99,1,9.86
23,Male,Tier 1,Mechanical,6.58,146,0,9,4,41,74,1145,232,1,9,1,78,73,1,13.32
20,Other,Tier 3,Computer Science,8.45,467,2,4,7,50,42,800,147,8,8,4,99,74,1,13.39
21,Male,Tier 1,Electronics,8.32,138,2,3,5,97,60,1081,5,7,7,9,54,79,1,13.55
20,Male,Tier 2,Electronics,8.11,288,2,7,5,98,61,1029,292,2,10,10,67,76,1,16.19
25,Female,Tier 2,Data Science,7.98,442,3,3,6,41,90,875,47,5,5,2,57,38,1,15.63
25,Other,Tier 3,Data Science,6.39,208,1,2,10,71,51,1422,17,0,3,3,56,50,1,9.99
20,Male,Tier 3,Mechanical,8.11,359,3,0,11,54,54,1839,200,2,9,9,79,95,1,16.1
18,Other,Tier 1,Information Technology,7.53,287,2,0,1,80,80,1230,37,2,1,7,99,49,1,10.34
18,Other,Tier 2,Computer Science,6.87,151,3,6,10,98,98,1594,136,7,8,6,57,52,1,14.61
21,Other,Tier 2,Information Technology,7.55,429,2,7,4,99,86,1446,200,4,3,2,73,77,1,13.37
25,Male,Tier 3,Civil,8.33,492,2,0,12,57,63,1651,128,6,10,2,73,72,1,15.26
20,Other,Tier 2,Computer Science,6.73,174,2,10,9,67,46,1765,42,1,9,1,81,48,1,16.71
25,Female,Tier 2,Information Technology,7.05,679,0,7,6,80,60,1207,140,7,1,1,61,49,1,9.24
18,Male,Tier 3,AI/ML,6.41,409,3,2,9,64,71,1063,65,1,2,7,83,51,1,13.0
25,Female,Tier 3,AI/ML,7.94,41,3,9,4,83,44,1653,130,3,7,5,82,37,1,12.72
21,Female,Tier 3,Mechanical,6.41,0,0,8,9,78,97,2051,201,2,10,4,49,38,1,9.55
19,Male,Tier 3,Civil,8.0,163,1,5,5,40,82,1770,80,7,5,5,78,97,1,11.87
18,Male,Tier 3,Computer Science,6.91,151,2,7,2,70,69,1939,191,7,5,10,46,95,1,12.65
20,Male,Tier 1,Electronics,8.22,5,0,7,4,65,53,1020,157,3,1,6,93,91,1,12.35
24,Male,Tier 3,Data Science,7.48,0,2,7,3,64,87,1078,153,3,2,9,90,81,1,16.84
23,Male,Tier 3,Information Technology,8.42,486,0,8,7,49,82,1568,146,3,10,6,69,62,1,11.67
22,Other,Tier 2,Electronics,8.15,239,0,4,4,86,72,1692,122,0,10,4,96,67,1,14.08
20,Female,Tier 3,Civil,7.11,283,2,6,4,96,74,1800,18,4,5,9,58,35,1,9.6
22,Male,Tier 3,Data Science,7.63,466,1,4,6,81,84,2042,22,0,2,10,59,93,1,10.6
25,Male,Tier 3,Mechanical,5.72,167,1,6,7,87,38,1842,118,7,4,5,66,93,1,9.73
19,Male,Tier 2,Mechanical,7.75,130,1,6,6,60,39,2007,120,2,7,5,75,52,1,12.2
20,Male,Tier 1,Mechanical,7.79,390,2,2,1,49,36,2008,103,7,7,6,76,90,1,15.9
24,Female,Tier 2,Computer Science,7.3,158,2,4,4,89,72,1178,32,4,8,8,98,83,1,12.16
20,Male,Tier 2,Information Technology,8.32,356,2,6,11,55,92,1015,0,8,7,2,56,35,1,11.93
22,Female,Tier 3,Mechanical,6.42,204,1,6,8,94,67,1860,76,0,5,10,67,38,1,14.7
24,Other,Tier 3,Electronics,5.52,197,3,9,11,99,50,1724,187,1,6,6,72,78,1,11.64
20,Other,Tier 3,Mechanical,8.2,371,2,1,11,52,86,1211,145,2,5,9,45,69,1,14.87
24,Female,Tier 2,Civil,6.59,504,0,3,9,55,78,1157,131,0,3,8,80,84,1,7.67
20,Other,Tier 3,AI/ML,7.3,89,3,1,5,98,46,1347,0,3,6,1,57,92,1,15.34
23,Male,Tier 2,Computer Science,7.56,413,0,1,2,89,38,1328,210,6,8,8,59,88,1,12.53
23,Male,Tier 3,Mechanical,7.31,567,3,10,5,99,94,1280,218,6,2,2,66,78,1,13.51
22,Other,Tier 3,Data Science,6.63,52,1,3,9,95,73,1088,210,0,1,9,52,44,1,13.77
18,Female,Tier 3,Computer Science,7.29,271,0,0,11,97,96,1721,125,6,7,8,78,83,1,14.13
19,Other,Tier 2,Data Science,7.49,270,4,4,6,52,66,1205,44,8,4,8,59,61,1,7.67
19,Male,Tier 3,Data Science,8.43,228,2,4,8,65,38,1309,0,3,2,1,75,91,1,11.46
25,Male,Tier 3,AI/ML,6.43,130,0,6,5,45,69,1566,129,4,2,3,75,82,1,7.02
25,Other,Tier 2,Computer Science,5.9,55,0,2,1,79,60,2083,239,5,3,6,49,54,1,7.92
18,Other,Tier 2,Data Science,5.22,269,1,4,12,65,98,1466,145,0,1,5,75,80,1,10.66
25,Male,Tier 3,Computer Science,7.65,82,4,8,1,75,93,1552,188,0,4,5,51,50,1,12.67
24,Male,Tier 2,Computer Science,7.5,167,0,0,9,52,41,2148,13,1,6,4,66,52,1,14.11
25,Other,Tier 1,Data Science,5.53,518,2,6,1,72,87,1050,135,3,9,5,50,84,1,9.27
20,Other,Tier 2,Computer Science,5.85,384,3,4,5,68,71,1809,139,6,10,1,91,81,1,15.26
25,Other,Tier 1,AI/ML,8.24,147,2,1,9,52,76,960,118,7,7,9,67,60,1,12.94
21,Male,Tier 2,AI/ML,7.59,332,2,1,10,62,45,1211,176,7,9,7,60,47,1,15.48
20,Female,Tier 2,Civil,7.92,188,2,10,6,66,100,1722,161,7,10,7,89,93,1,16.02
21,Female,Tier 3,Information Technology,8.88,299,3,5,7,74,39,1237,31,8,6,10,87,87,1,17.26
24,Female,Tier 1,Mechanical,7.56,500,3,3,12,80,73,800,192,8,8,9,97,83,1,14.03
22,Other,Tier 1,Computer Science,6.85,135,1,1,11,45,99,1764,169,4,3,7,64,50,1,8.8
18,Male,Tier 1,Computer Science,7.36,355,1,3,6,77,76,1512,208,7,9,9,46,63,1,12.71
23,Male,Tier 2,AI/ML,4.95,278,2,7,4,98,58,1513,144,7,7,1,72,93,1,13.67
18,Female,Tier 1,Computer Science,5.25,214,3,1,11,70,56,1127,23,6,2,2,84,42,1,10.76
23,Female,Tier 3,Data Science,7.9,295,1,9,10,55,58,1209,108,3,3,4,72,97,1,13.78
21,Female,Tier 3,Information Technology,7.88,167,1,0,2,88,96,1233,0,3,2,2,50,56,1,10.75
18,Other,Tier 1,Mechanical,5.46,560,0,1,7,55,43,1150,208,7,5,2,84,63,1,13.5
20,Other,Tier 2,AI/ML,7.42,234,4,0,10,85,77,987,79,8,7,4,65,72,1,18.04
24,Other,Tier 1,Data Science,7.55,254,0,6,3,56,54,1909,175,6,7,4,82,37,1,11.84
25,Female,Tier 1,Mechanical,7.42,134,1,3,9,99,45,1253,103,2,3,9,46,36,1,12.65
20,Male,Tier 3,Computer Science,5.95,261,2,10,12,95,87,1313,47,0,10,4,49,71,1,12.39
19,Female,Tier 3,Information Technology,4.88,136,3,6,2,50,64,1065,97,3,4,9,50,67,1,6.64
23,Other,Tier 2,Information Technology,7.39,386,3,7,6,92,45,1408,159,5,3,4,94,78,1,11.89
25,Male,Tier 2,Data Science,5.65,250,2,6,8,85,44,1688,14,3,3,3,100,63,1,9.89
25,Other,Tier 3,Computer Science,6.95,677,2,3,2,55,74,1528,0,6,5,5,59,36,1,8.15
19,Female,Tier 3,AI/ML,7.93,622,0,5,9,54,59,1351,92,2,7,6,47,36,1,13.31
19,Male,Tier 3,Computer Science,6.4,0,1,10,9,79,63,1813,70,6,5,6,83,42,1,13.42
21,Other,Tier 1,Computer Science,6.44,268,1,9,10,44,60,1749,205,4,7,9,92,40,1,12.42
24,Other,Tier 3,Mechanical,7.38,342,1,1,3,47,98,1612,16,4,8,3,71,97,1,10.46
20,Male,Tier 2,Computer Science,5.09,364,4,8,9,98,91,1311,185,7,3,8,94,78,1,12.58
21,Other,Tier 2,Civil,6.2,231,2,7,12,43,91,1290,71,3,5,3,51,37,1,13.69
21,Male,Tier 2,Civil,9.71,417,1,3,12,71,82,1440,220,3,5,3,88,38,1,17.39
23,Female,Tier 2,Computer Science,5.81,433,4,3,6,91,56,1719,215,6,8,6,69,80,1,15.47
20,Other,Tier 3,Data Science,6.97,554,2,8,1,63,66,1568,85,0,4,7,52,36,1,13.19
18,Female,Tier 3,Information Technology,8.17,264,3,5,2,40,37,1587,127,1,10,10,66,35,1,14.32
18,Other,Tier 3,Civil,6.38,39,2,2,7,57,88,1981,102,2,8,2,71,93,1,6.05
23,Male,Tier 3,Electronics,7.6,306,2,5,5,45,82,800,53,7,3,4,82,98,1,10.63
22,Male,Tier 2,Mechanical,6.46,431,4,2,11,60,47,1397,85,5,10,8,93,74,1,17.21
24,Female,Tier 1,Civil,7.7,0,1,10,6,64,62,1234,145,1,7,1,95,61,1,11.09
20,Other,Tier 3,Civil,9.23,266,1,4,11,74,96,1186,30,8,10,5,51,98,1,16.94
20,Female,Tier 3,Information Technology,6.55,306,2,2,9,75,52,1046,125,8,1,9,55,62,1,9.67
19,Female,Tier 1,Information Technology,6.88,130,3,0,11,49,79,1808,80,2,1,1,86,51,1,11.62
18,Female,Tier 1,Mechanical,7.1,491,2,8,1,74,96,1761,183,8,3,6,60,68,1,8.82
24,Female,Tier 3,Civil,6.54,428,2,7,11,72,77,1040,126,0,7,2,69,43,1,10.6
21,Male,Tier 3,Computer Science,6.24,502,1,8,9,82,46,1701,198,6,3,7,72,86,1,12.16
25,Female,Tier 3,AI/ML,7.06,146,0,3,4,98,71,1309,104,4,5,7,49,46,1,14.7
25,Other,Tier 3,Electronics,5.86,166,1,5,12,69,43,1130,204,1,8,1,63,67,1,15.5
22,Other,Tier 3,Electronics,7.51,308,3,6,2,56,77,1481,154,1,9,4,49,64,1,16.35
20,Male,Tier 3,Civil,7.63,324,0,6,8,91,40,1721,0,4,10,2,68,85,1,13.11
19,Male,Tier 3,Mechanical,7.51,312,0,0,8,100,83,1390,132,8,6,2,71,72,1,10.37
18,Other,Tier 3,Electronics,5.43,397,0,0,6,75,71,1052,107,4,6,2,91,52,1,8.65
20,Female,Tier 3,AI/ML,8.79,238,2,2,9,79,44,1341,179,1,7,7,96,71,1,18.84
25,Male,Tier 3,Civil,7.61,193,2,2,6,90,76,1693,0,7,5,9,68,48,1,13.08
21,Male,Tier 3,Electronics,9.19,273,2,3,4,56,81,1487,121,8,3,4,80,46,1,12.86
25,Male,Tier 2,Electronics,7.51,366,1,7,6,67,52,1333,0,2,5,8,71,39,1,13.14
25,Male,Tier 2,Information Technology,9.33,193,2,5,11,44,59,935,174,1,6,5,71,59,1,18.15
24,Female,Tier 3,AI/ML,7.73,508,0,10,7,92,36,1727,176,6,3,10,63,70,1,10.05
22,Female,Tier 3,AI/ML,7.49,245,2,2,5,62,76,1427,99,7,7,10,82,98,1,13.94
23,Male,Tier 1,Electronics,5.9,371,1,3,11,52,63,1142,99,6,4,10,81,90,1,11.28
18,Male,Tier 2,Electronics,6.27,0,1,5,11,87,93,1315,5,7,2,10,61,69,1,11.74
23,Other,Tier 2,Information Technology,6.05,472,2,1,5,42,93,1447,124,7,5,2,77,71,1,7.78
19,Male,Tier 3,Electronics,7.34,237,3,5,4,63,52,995,126,3,3,3,74,86,1,12.08
25,Male,Tier 3,Computer Science,6.98,253,1,7,3,47,100,1284,139,6,5,6,97,63,1,11.61
20,Other,Tier 2,Data Science,7.67,170,1,1,8,91,67,1077,63,3,10,5,67,55,1,16.72
20,Female,Tier 3,Civil,8.16,432,2,8,1,62,75,1898,82,4,8,1,48,88,1,14.92
25,Male,Tier 3,Computer Science,7.28,348,2,9,7,81,51,1348,127,0,6,7,86,66,1,13.17
21,Female,Tier 3,Computer Science,7.73,348,2,7,7,49,55,1482,129,7,2,3,92,57,1,12.64
24,Male,Tier 1,Information Technology,8.85,0,2,8,8,98,57,1110,173,5,5,1,73,98,1,14.52
22,Other,Tier 3,Civil,7.46,350,2,1,7,95,99,1524,75,2,1,5,58,55,1,12.93
19,Male,Tier 3,Mechanical,7.22,182,0,7,8,58,56,1691,172,7,9,10,86,68,1,12.91
21,Female,Tier 2,Civil,8.92,449,1,4,3,69,79,1800,325,8,2,5,46,83,1,12.14
23,Male,Tier 3,Civil,6.74,379,0,9,11,63,62,1361,120,1,7,5,73,41,1,9.52
23,Other,Tier 3,Electronics,7.81,29,1,8,8,61,59,1416,118,4,1,8,86,62,1,10.38
20,Other,Tier 3,Electronics,5.44,0,1,8,9,83,65,1188,163,2,3,9,49,96,1,10.53
19,Male,Tier 2,AI/ML,7.18,117,3,8,2,76,69,1569,0,0,4,4,61,96,1,8.25
25,Female,Tier 3,Information Technology,6.96,168,2,3,4,64,91,1804,132,8,4,6,77,71,1,15.47
23,Female,Tier 3,Information Technology,6.65,323,1,7,11,95,47,1361,230,3,9,3,93,64,1,12.31
19,Other,Tier 3,Civil,8.05,88,1,7,12,65,70,1304,113,7,6,9,92,66,1,15.47
21,Female,Tier 2,AI/ML,5.0,200,1,10,3,97,100,1321,0,2,3,8,45,86,1,8.67
25,Female,Tier 2,AI/ML,5.66,0,0,4,3,77,99,1358,96,5,1,8,98,91,1,8.34
18,Other,Tier 1,Mechanical,7.45,118,1,10,1,86,68,2076,117,6,4,7,87,66,1,14.43
20,Other,Tier 1,Electronics,5.52,124,3,6,2,48,44,1690,101,4,10,2,91,57,1,11.37
20,Other,Tier 3,Information Technology,5.36,359,1,7,4,46,68,1678,139,1,10,5,97,54,1,11.0
24,Other,Tier 3,Information Technology,6.09,242,0,8,6,84,99,989,59,0,3,1,56,62,1,12.29
19,Female,Tier 3,Information Technology,5.35,351,0,10,12,87,36,1972,185,6,2,3,64,54,1,9.68
18,Male,Tier 2,Data Science,6.74,153,3,3,6,86,95,800,122,3,1,10,78,41,1,10.99
24,Female,Tier 2,Mechanical,6.5,246,3,8,1,46,88,1471,69,5,9,5,99,81,1,17.23
24,Male,Tier 1,Electronics,7.93,384,3,4,12,40,81,1413,160,3,7,1,70,76,1,12.75
24,Other,Tier 1,Electronics,7.87,219,1,0,10,73,81,1092,118,2,2,8,90,95,1,11.01
20,Other,Tier 3,Mechanical,9.52,315,0,2,10,51,64,2002,210,4,7,8,51,73,1,13.79
22,Female,Tier 1,Mechanical,6.76,0,0,7,5,55,38,1145,173,7,7,7,73,67,1,10.9
18,Male,Tier 1,Civil,7.58,0,2,4,8,91,89,1608,207,6,10,10,97,81,1,10.91
21,Female,Tier 3,Computer Science,7.57,451,1,1,3,57,41,2038,79,8,5,8,69,80,1,13.82
20,Male,Tier 3,Electronics,8.63,310,1,2,11,59,93,1899,117,1,9,1,57,44,1,15.09
22,Other,Tier 3,Mechanical,6.58,225,0,4,12,96,75,1601,64,8,3,7,48,86,1,9.72
18,Male,Tier 3,Electronics,7.96,557,0,9,8,61,53,800,278,2,2,8,77,36,1,10.45
24,Female,Tier 2,Data Science,8.16,424,1,8,2,72,60,1997,61,0,2,7,57,90,1,11.38
22,Male,Tier 3,Mechanical,7.15,196,3,3,4,67,45,1911,113,8,10,2,60,75,1,11.58
23,Other,Tier 3,Information Technology,6.57,13,1,7,3,69,53,1370,173,8,8,9,52,99,1,11.05
22,Other,Tier 1,Electronics,6.8,208,3,6,3,91,65,1499,161,8,1,3,70,97,1,13.45
18,Other,Tier 2,Computer Science,9.46,268,2,7,11,70,46,1707,0,6,5,2,78,50,1,13.71
22,Female,Tier 1,Information Technology,6.93,97,2,9,2,49,63,1262,111,6,4,3,54,38,1,11.13
20,Other,Tier 2,Data Science,9.8,326,1,1,4,88,73,2150,239,7,3,1,81,90,1,12.16
25,Male,Tier 2,Mechanical,7.24,184,1,5,2,79,90,1393,41,5,4,8,97,84,1,10.81
25,Male,Tier 2,Civil,7.56,299,3,2,8,59,45,1538,115,4,4,9,60,91,1,15.07
23,Male,Tier 2,AI/ML,6.94,458,0,10,4,53,83,803,172,0,2,5,72,97,1,11.13
19,Female,Tier 1,Information Technology,6.53,196,1,8,9,75,58,1612,193,7,1,4,55,56,1,6.73
22,Other,Tier 2,Computer Science,7.83,181,0,0,5,96,59,1843,0,7,5,6,68,92,1,16.65
24,Female,Tier 3,Information Technology,6.31,464,0,4,1,74,45,1425,54,2,8,6,77,70,1,11.98
20,Female,Tier 2,Civil,8.23,17,1,7,10,51,56,1695,119,7,1,2,82,54,1,12.74
22,Other,Tier 2,Electronics,7.21,164,2,7,10,80,84,1060,173,3,4,8,52,44,1,13.7
21,Female,Tier 1,Mechanical,7.86,314,0,8,8,98,49,1780,232,6,6,1,78,49,1,8.34
25,Male,Tier 2,Information Technology,4.86,507,4,6,2,53,76,980,33,2,5,3,80,48,1,11.61
24,Other,Tier 3,Electronics,5.55,192,0,8,5,60,78,1118,101,4,3,8,53,70,1,9.9
22,Other,Tier 3,Electronics,6.86,190,2,9,11,75,92,1540,203,2,1,2,63,53,1,14.39
20,Male,Tier 3,Civil,6.98,523,4,2,6,83,83,1756,21,8,7,6,45,83,1,11.96
24,Male,Tier 1,Computer Science,6.62,466,1,5,9,99,86,1274,0,5,2,2,67,38,1,10.14
21,Female,Tier 2,Civil,5.22,91,0,8,11,43,41,1244,131,6,7,1,67,89,1,12.32
25,Female,Tier 3,AI/ML,7.89,73,2,3,7,41,40,1319,126,8,5,4,79,39,1,12.69
18,Other,Tier 2,AI/ML,6.93,0,2,9,4,71,52,1046,87,3,7,10,89,49,1,6.86
18,Other,Tier 3,Information Technology,7.84,44,3,10,9,68,56,1690,167,1,10,2,96,84,1,14.28
21,Other,Tier 1,Information Technology,8.2,361,2,1,7,61,46,1341,86,6,9,1,46,69,1,16.85
25,Male,Tier 1,AI/ML,7.43,406,1,10,1,41,61,800,127,5,9,8,50,97,1,10.19
18,Male,Tier 1,Information Technology,7.17,357,2,5,11,63,36,2058,44,1,9,8,78,36,1,12.78
18,Other,Tier 2,AI/ML,7.1,103,2,4,3,54,51,1792,114,5,6,5,96,60,1,13.12
21,Female,Tier 3,Information Technology,7.82,239,2,2,11,90,45,1163,114,2,5,4,95,35,1,11.44
20,Female,Tier 2,Information Technology,7.31,399,3,3,12,41,62,1038,0,6,2,4,53,52,1,12.65
25,Female,Tier 3,Computer Science,6.43,254,3,10,11,84,96,1562,0,4,5,8,86,64,1,14.12
18,Other,Tier 3,Civil,6.03,246,0,0,12,68,36,1219,75,8,8,7,97,83,1,14.61
25,Other,Tier 2,AI/ML,7.52,385,4,3,5,80,59,1502,169,3,6,8,77,73,1,15.45
21,Female,Tier 1,Computer Science,7.45,416,2,8,11,42,60,1504,302,3,7,2,58,85,1,15.38
21,Female,Tier 3,Electronics,6.06,223,0,0,6,43,63,1588,123,3,6,2,95,49,1,12.02
24,Male,Tier 3,Information Technology,8.0,46,2,7,9,88,71,1898,80,5,8,4,71,56,1,13.01
23,Male,Tier 1,Electronics,6.6,371,2,2,7,90,35,1356,66,2,8,4,56,51,1,12.23
24,Other,Tier 3,Mechanical,5.41,123,0,8,8,41,51,1016,98,2,10,5,92,36,1,12.66
18,Other,Tier 3,Electronics,7.75,438,0,1,1,89,58,1811,77,3,10,5,45,87,1,13.24
23,Female,Tier 2,Data Science,7.17,0,2,5,11,64,70,1023,106,5,10,9,87,46,1,13.79
25,Male,Tier 2,Computer Science,7.71,319,0,9,3,90,72,830,161,4,3,3,51,62,1,11.43
22,Other,Tier 2,AI/ML,7.82,410,0,3,4,88,39,1399,219,0,1,5,91,56,1,8.78
23,Female,Tier 1,Computer Science,6.25,314,2,9,4,83,35,1320,140,5,9,8,86,58,1,17.09
18,Male,Tier 1,Mechanical,7.59,281,1,0,1,93,57,1145,0,5,6,7,83,62,1,12.43
19,Other,Tier 3,Computer Science,8.27,201,1,2,4,92,49,1590,234,4,4,9,75,71,1,15.32
22,Male,Tier 2,AI/ML,7.63,275,0,3,6,79,88,918,69,2,8,7,60,36,1,11.94
18,Other,Tier 3,Mechanical,6.35,287,1,3,11,51,76,2119,241,2,8,4,83,91,1,12.67
24,Female,Tier 3,Electronics,7.98,140,1,1,4,100,47,1962,0,4,3,1,59,98,1,13.81
23,Female,Tier 3,Electronics,7.7,136,0,4,4,44,73,1376,29,0,2,4,82,95,1,8.58
22,Male,Tier 3,Electronics,5.61,365,0,3,12,98,94,1871,0,1,9,10,61,58,1,14.86
22,Male,Tier 3,Information Technology,7.19,293,2,8,6,66,63,934,225,8,1,3,87,77,1,11.85
20,Male,Tier 1,Computer Science,8.34,433,0,4,11,45,86,1917,68,4,9,6,90,46,1,12.96
23,Female,Tier 3,Mechanical,6.59,384,1,7,1,52,52,1566,205,1,9,8,45,65,1,14.9
23,Other,Tier 1,Information Technology,5.47,452,1,8,9,73,70,1782,90,2,4,6,84,68,1,10.98
18,Male,Tier 3,Computer Science,7.08,342,1,8,12,42,89,1320,158,8,2,4,66,84,1,11.1
21,Other,Tier 3,Mechanical,6.77,278,3,2,5,83,71,2397,65,6,3,7,66,81,1,11.92
24,Male,Tier 2,Mechanical,6.53,165,2,2,4,61,79,1735,177,1,8,3,74,70,1,13.01
22,Female,Tier 3,Information Technology,8.23,369,0,0,6,77,68,1393,0,4,7,2,73,63,1,14.34
23,Male,Tier 2,Mechanical,7.37,253,2,4,5,71,35,1286,179,6,8,5,45,43,1,14.39
20,Female,Tier 1,Information Technology,6.96,66,1,10,1,41,92,1823,168,1,2,1,72,72,1,11.38
18,Male,Tier 3,AI/ML,4.54,244,3,10,9,65,100,1365,70,0,1,9,79,47,1,11.54
22,Other,Tier 2,Information Technology,7.91,315,2,6,11,100,77,1813,38,4,2,2,56,70,1,11.42
20,Male,Tier 3,Computer Science,7.27,156,1,9,2,55,58,1704,78,1,8,3,92,75,1,15.51
20,Other,Tier 1,Mechanical,6.27,569,1,8,3,53,87,2160,112,7,6,7,91,93,1,13.81
24,Other,Tier 2,Electronics,6.8,401,2,8,7,54,92,1388,17,8,8,9,67,77,1,6.17
25,Male,Tier 3,Computer Science,6.93,291,2,9,8,84,51,1915,122,4,9,2,78,91,1,15.65
18,Female,Tier 1,Mechanical,6.75,199,2,7,5,100,91,1818,0,2,7,8,91,62,1,12.93
20,Female,Tier 3,Computer Science,6.8,454,0,1,6,82,63,1265,161,6,5,1,75,85,1,12.78
20,Male,Tier 3,Information Technology,5.71,229,3,10,9,49,38,1298,195,7,5,10,65,87,1,13.52
20,Other,Tier 3,Computer Science,6.97,92,2,2,5,61,48,1813,114,2,4,2,63,45,1,8.94
22,Male,Tier 1,Electronics,5.67,315,1,5,5,89,78,1003,268,1,5,4,64,62,1,8.86
20,Female,Tier 1,Civil,7.2,273,3,6,11,78,51,1194,0,0,6,2,48,59,1,14.04
22,Other,Tier 3,Electronics,6.45,267,2,9,11,88,52,1407,141,8,4,5,82,71,1,14.88
20,Other,Tier 2,Data Science,6.65,179,3,2,8,43,88,866,104,0,8,8,86,44,1,14.64
22,Other,Tier 3,Mechanical,6.72,312,1,3,7,79,48,1387,15,7,1,4,94,51,1,11.0
22,Male,Tier 1,Electronics,6.99,268,0,7,11,69,54,1251,67,1,2,8,48,39,1,10.51
23,Male,Tier 2,Data Science,6.97,508,2,0,10,41,47,1729,163,2,8,2,75,56,1,13.02
18,Other,Tier 3,Electronics,5.17,128,3,2,8,89,39,1223,98,4,4,2,67,56,1,11.37
19,Male,Tier 3,Civil,7.86,290,3,9,8,47,95,1855,95,8,7,3,67,86,1,15.0
19,Female,Tier 2,Mechanical,7.54,286,2,6,5,82,84,1898,184,5,1,5,93,76,1,9.09
24,Other,Tier 2,Data Science,7.09,247,2,2,9,62,64,2203,93,6,8,5,83,56,1,11.51
19,Other,Tier 3,Mechanical,7.64,324,4,1,12,52,87,1424,102,3,6,5,57,50,1,16.61
